winloss,Anticipate,Cancel,Crash.Through,Divination,Dragon.Egg,Essence.Scatter,Fire.Elemental,Lathliss..Dragon.Queen,Lava.Axe,Manalith,Oakenform,Sift,Sure.Strike,Surge.Mare,Viashino.Pyromancer,Catalyst.Elemental,Daggerback.Basilisk,Dismissive.Pyromancer,Druid.of.Horns,Recollect,Act.of.Treason,Bone.to.Ash,Frilled.Sea.Serpent,Omenspeaker,Onakke.Ogre,Giant.Spider,Greenwood.Sentinel,Ajani.s.Pridemate,Daybreak.Chaplain,Demanding.Dragon,Leonin.Vanguard,Loxodon.Line.Breaker,Luminous.Bonds,Novice.Knight,Highland.Game,Death.Baron,Diamond.Mare,Graveyard.Marshal,Revitalize,Rustwing.Falcon,Star.Crowned.Stag,Walking.Corpse,Colossal.Dreadmaw,Ajani.s.Welcome,Duress,Knight.s.Pledge,Pegasus.Courser,Skymarch.Bloodletter,Blink.of.an.Eye,Departed.Deckhand,Warkite.Marauder,Ajani..Advesary.of.Tyrants,Conclave.Tribunal,Legion.s.Landing,Leonin.Warleader,Mentor.of.the.Meek,Pride.of.Conquerers,Bishop.s.Soldier,Burglar.Rat,Legion.Lieutenant,Martyr.of.Dusk,Ravenous.Chupacabra,Sanctum.Seeker,History.of.Benalia,Resplendent.Angel,Blood.Divination,Call.to.the.Feast,Dead.Weight,Dusk.Legion.Zealot,Radiant.Destiny,Settle.the.Wreckage,Vraska.s.Contempt,Healer.s.Hawk,Make.a.Stand,Haazda.Marshal,Hieromancer.s.Cage,Mavren.Fein..Dusk.Apostle,Aurelia..Exemplar.of.Justice,Hunted.Witness,Lava.Coil,Tajic..Legion.s.Edge,Boros.Challenger,Adanto.Vanguard,Arch.of.Orazca,Venerated.Loxodon,Never.Happened,Flower....Flourish,Trostani.Discordant,Murder,Goblin.Instigator,Goblin.Trashmaster,Chart.a.Course,Goblin.Electromancer,Shock,Aviation.Pioneer,Capture.Sphere,Explosive.Apparatus,Fountain.of.Renewal,Gearsmith.Guardian,Gearsmith.Prodigy,Gleaming.Barrier,Sailor.of.Means,Skilled.Animator,Suspicious.Bookcase,Tezzeret..Artifice.Master,The.Antiquities.of.War,Traxos..Scourge.of.Kroog,Waterknot,Chemister.s.Insight,Murmuring.Mystic,Sinister.Sabotage,Thought.Erasure,Deadeye.Tormentor,Arbor.Armament,Dire.Fleet.Interloper,Dire.Fleet.Poisoner,New.Horizons,Storm.Fleet.Swashbuckler,Knight.of.Autumn,Pelt.Collector,Tendershoot.Dryad,Twilight.Prophet,Paladin.of.Atonement,Champion.of.Dusk,Ritual.of.Soot,Take.Vegeance,Epicure.of.Blood,Crackling.Drake,Deafening.Clarion,Justice.Strike,Cleansing.Nova,Niv.Mizzet..Parun,Ashes.of.the.Abhorrent,Cast.Down,Divine.Visitation,Forerunner.of.the.Legion,Skymarcher.Aspirant,Doomed.Dissenter,Reassembling.Skeleton,Stitcher.s.Supplier,Disperse,Final.Parting,Ravenous.Harpy,Angelic.Reward,Herald.of.Faith,Inspiring.Commander,Serra.Angel,Silverbeak.Griffin,Vernadi.Shieldmate,Serra.s.Guardian,Tactical.Advantage,Llanowar.Elves,Golden.Demise,Jadelight.Ranger,Doom.Whisperer,Midnight.Reaper,Vivien.Reid,Deathbloom.Thallid,Pelakka.Wurm,Vicious.Offering,Arcane.Encyclopedia,Heroic.Reinforcements,Sky.Terror,Meteor.Golem,Mystic.Archaeologist,Rekindling.Phoenix,Salvager.of.Secrets,Silent.Dart,Torch.Courier,Connive....Concoct,Hired.Poisoner,Goblin.Warchief,Legion.Warboss,Guttersnipe,Huatli..Warrior.Poet,Status....Statue,Swathcutter.Giant,Benalish.Marshal,Dauntless.Bodyguard,Knight.of.Grace,Emmara..Soul.of.the.Accord,March.of.the.Multitudes,Shalai..Voice.of.Plenty,Impale,Lingering.Phantom,Rise.from.the.Grave,The.Eldest.Reborn,Urgoros..the.Empty.One,Vampire.Sovereign,Aven.Wind.Mage,Enigma.Drake,Lightning.Strike,Rowdy.Crew,Shivan.Fire,Nicol.Bolas..the.Ravager,Beast.Whisperer,Crush.Contraband,Shield.Mare,The.Immortal.Sun,Plummet,Remorseful.Cleric,Elvish.Clancaller,Elvish.Rejuvenator,Arboretum.Elemental,Thorn.Lieutenant,Garrison.Sergeant,Integrity....Intervention,Skyknight.Legionnaire,Angel.of.the.Dawn,Fresh.Faced.Recruit,Legion.Guildmage,On.Serra.s.Wings,Siegehorn.Ceratops,Danitha.Capashen..Paragon,Risk.Factor,Sword.Point.Diplomacy,Arguel.s.Blood.Fast,Sovereign.s.Bite,Izzet.Locket,Assassin.s.Trophy,Find....Finality,Carnage.Tyrant,Aryel..Knight.of.Windgrace,Blessing.of.Belzenlok,Knight.of.New.Benalia,Rat.Colony,Stronghold.Confessor,Radiating.Lightning,Cabal.Evangel,Fungal.Infection,Tolarian.Scholar,Windgrace.Acolyte,Eviscerate,In.Bolas.s.Clutches,Muldrutha..the.Gravetide,Feral.Abomination,Icy.Manipulator,Soul.Salvage,Josu.Vess..Ligh.Knight,Karn..Scion.of.Urza,Aggressive.Mammoth,Centaur.Courser,Prodigious.Growth,Satyr.Enchanter,Captivating.Crew,Deadeye.Tracker,Fathom.Fleet.Boarder,Grasping.Scoundrel,Kargan.Dragonrider,Volcanic.Dragon,Charging.Monstrosaur,Colossal.Majesty,Draconic.Disciple,Knight.of.the.Stampede,Charging.Tuskodon,Druid.of.the.Cowl,Goreclaw..Terror.of.Qal.Sisma,Rhizome.Lurcher,Ghalta..Primal.Hunger,Izoni..Thousand.Eyed,Liliana..Untouched.by.Death,Naturalize,Underrealm.Lich,Necrotic.Wound,Disinformation.Campaign,Nightveil.Sprite,Radical.Idea,Selective.Snare,Supreme.Phantom,Unexplained.Disappearance,Negate,Nexus.of.Fate,Ral..Izzet.Viceroy,Seal.Away,Treasure.Map,Invoke.the.Divine,Demonlord.Belzenlok,Gravewalker,Two.Headed.Zombie,Etali..Primal.Storm,Banefire,Moment.of.Craving,Thief.of.Sanity,Expansion....Explosion,Ionize,Boggart.Brute,Swab.Goblin,Trumpet.Blast,Fanatical.Firebrand,Runaway.Steam.Kin,Tormenting.Voice,Open.the.Graves,Path.of.Discovery,Poison.Tip.Archer,Blanchwood.Armor,Bristling.Boar,Dryad.Greenseeker,Gigantosaurus,Diregraf.Ghoul,Rite.of.Belzenlok,Yavimaya.Sapherd,Blade.Instructor,Imperial.Aerosaur,Territorial.Hammerskull,Sunhome.Stalwart,Pitiless.Plunderer,Desecrated.Tomb,Elenda..the.Dusk.Rose,Whisper..Blood.Liturgist,Beacon.Bolt,Chromatic.Latern,Parhelion.Patrol,Riddlemaster.Sphinx,Wall.of.Mist,Goblin.Cratermaker,Oreskos.Swiftclaw,Anointed.Deacon,Blood.Operative,Inspiring.Cleric,Bishop.of.Binding,Child.of.Night,Etrata..the.Silencer,Vona..Butcher.of.Magan,Curious.Obsession,Mist.Cloaked.Herald,Paladin.of.the.Bloodstained,Glowspore.Shaman,Ironshell.Beetle,Kraul.Foragers,Kraul.Raider,Lotleth.Giant,Duskborne.Skymarcher,Grim.Captain.s.Call,Whispering.Snitch,Arterial.Flow,Arvad.the.Cursed,Caligo.Skin.Witch,Tetzimoc..Primal.Death,Oathsworn.Vampire,Queen.s.Commission,Nightveil.Predator,Sarkhan..Fireblood,Sleep,Nullhide.Ferox,Strangling.Spores,Vanquisher.s.Banner,Discovery....Dispersal,Dream.Eater,Evolving.Wilds,Vicious.Conquistador,Knight.of.Malice,Sparing.Construct,Bishop.of.the.Bloodstained,Moment.of.Triumph,Vicious.Rumors,Thaumatic.Compass,Disdainful.Stroke,Reliquary.Tower,Sadistic.Skymarcher,Nightmare.s.Thirst,Ixalan.s.Binding,Polyraptor,Vivien.s.Invocation,Chance.for.Glory,Costly.Plunder,Plaguecrafter,Vraska..Golgari.Queen,Brawl.Bash.Ogre,Helm.of.the.Host,Field.of.Ruin,Kitesail.Corsair,Silverclad.Ferocidons,Deeproot.Elite,Silvergill.Adept,Militia.Bugler,Merfolk.Mistbinder,Vampire.Neonate,Air.Elemental,Field.Creeper,Gilded.Sentinel,Rabid.Bite,Doublecast,Dragon.s.Hoard,Sarkhan.s.Dragonfire,Artful.Takedown,Dimir.Spybug,Titanic.Growth,Gravedigger,Hired.Blade,Skulduggery,One.With.the.Wind,Distict.Guide,Talons.of.the.Wildwood,Fiery.Finish,Havoc.Devils,Sparktongue.Dragon,Spit.Flame,Kazarov..Sengir.Pureblood,Phyrexian.Scriptures,Adventurous.Impulse,Memorial.to.Folly,Response....Resurgence,Lazav..the.Mutifarious,Take.Heart,Exclusion.Mage,Kitesail.Freebooter,Electrostatic.Field,Swiftblade.Vindicator,Thallid.Omnivore,Torgaar..Famine.Incarnate,Circuitous.Route,Jade.Bearer,Jungleborn.Pioneer,Nezahal..Primal.Tide,Angrath.s.Mauraders,Crested.Herdcaller,Pause.for.Reflection,Inferno.Helion,Dark.Inquiry,Hellkite.Whelp,Might.of.the.Masses,Wojek.Bodyguard,Bounty.of.Might,Root.Snare,Crushing.Canopy,Blood.Sun,Demotion,Intrusive.Packbeast,Siege.Wurm,Memorial.to.Genius,Wishcoin.Crab,Muse.Drake,Vigilant.Baloth,Fearless.Halberdier,Goblin.Banneret,Azor.s.Gateway,Drowned.Secrets,Azor..the.Lawbringer,Barging.Sergeant,Detection.Tower,Gift.of.Paradise,Selesnya.Locket,Zetalpa..Primal.Dawn,Sai..Master.Thopterist,Scholar.of.Stars,Aegis.of.Heavens,Golgari.Raiders,Looming.Altisaur,Orazca.Frillback,Sheltering.Light,Psychic.Corrosion,Skyscanner,Slash.of.Talons,Alpine.Moon,Wayward.Swordtooth,Adeliz..the.Cinder.Wind,Beamsplitter.Mage,Maximize.Altitude,Quasiduplicate,Wee.Dragonauts,Spiritual.Guardian,Cavalry.Drillmaster,Kumena.Tyrant.of.Orazca,Devious.Cover.Up,Pirate.s.Pillage,Board.the.Weatherlight,Pirate.s.Cutlass,Sworn.Companions,Ledev.Guardian,Magistrate.s.Scepter,Burning.Sun.s.Avatar,Enter.the.Unknown,Unclaimed.Territory,Notion.Rain,Thoughtbound.Phantasm,Lyra.Dawnbringer,Golgari.Findbroker,Seeker.s.Squire,Demon.of.Catastrophes,Desperate.Castaways,See.Red,Vona.s.Hunger,Guildmage.s.Forum,Tocatli.Honor.Guard,Vine.Mare,Ornery.Goblin,Voracious.Vampire,Journey.to.Eternity,Experimental.Frenzy,Zhalfirin.Void,Dire.Fleet.Daredevil,Liliana..the.Necromancer,Memorial.to.Unity,Sarkhan.s.Unsealing,Needletooth.Raptor,Forerunner.of.the.Empire,Vraska..Scheming.Gorgon,Chandra..Bold.Pyromancer,Recover,Macabre.Waltz,Divest,Raging.Regisaur,Sumala.Woodshaper,Direct.Current,Ajani.s.Last.Stand,Light.of.the.Legion,Powerstone.Shard,Voltaic.Servant,Forerunner.of.the.Heralds,Knightly.Valor,Deadly.Visit,Atzocan.Seer,Thunderherd.Migration,Undercity.Necrolisk,Hornswoggle,Patient.Rebuilding,Bone.Dragon,Price.of.Fame,Barrier.of.Bones,Molderhulk,Reaver.Ambush,Thrashing.Brontodon,Angrath..the.Flame.Chained,Crucible.of.Worlds,Memorial.to.War,Arclight.Phoenix,Baffling.End,Dimir.Locket,Unmoored.Ego,Befuddle,Plague.Mare,Overgrown.Armasaur,Serra.Disciple,Reckless.Rage,Sun.Collared.Raptor,Thud,Dub,Valiant.Knight,Infectious.Horror,Gateway.Plaza,Captain.Lannery.Storm,Deadeye.Brawler,Dire.Fleet.Hoarder,Trove.of.Temptation,Champion.of.the.Flame,Ruin.Raider,Prey.Upon,Sprouting.Renewal,Guild Summit,Dawn of Hope,Kraul.Harpooner,Bishop of Rebirth,Sanguine Glorifier,Isareth.the.Awakener,Affectionate.Indrik,Generous Stray,Urban Utopia,Kumena.s.Awakening,Hammer.Dropper,Regal.Bloodlord,Darkblade.Agent,Mission.Briefing,Thousand.Year.Storm,Citywide.Bust,Heartless Pillage,Tomb.Robber,Camaraderie,Conclave.Cavalier,Cosmotronic.Wave,Demystify,Bartizan.Bats,Grappling.Sundew,Swarm.Guildmage,Conclave.Guildmage,Righteous.Blow,Assure....Assemble,Candlelight.Vigil,Gird.for.Battle,Wary.Okapi,Dazzling.Lights,Fire.Urchin,Invert....Invent,Flight.of.Equenauts,Collar.the.Culprit,Divine.Verdict,Inspired.Charge,Makeshift.Munitions,Creeping.Chill,Veiled.Shade,Boros Locket,Rosemane.Centaur,Enhanced.Surveillance,Passwall.Adept,Spinal.Centipede,Vedalken.Mesmerist,Hitchclaw.Recluse,Devkarin.Dissident,Glaive.of.the.Guildpact,Douser.of.Lights,Kraul.Swarm,Pilfering.Imp,Maniacal.Rage,Rubblebelt.Boar,Firemind.s.Research,Whisper.Agent,Benthic.Biomancer,Mind.Rot,Inspiring.Unicorn,Aeromunculus,Applied.Biomancy,Biomancer.s.Familiar,Rogue.s.Gloves,Take.Vengeance,Aethershield.Artificer,Marauder.s.Axe,Aerial.Engineer,Dimir.Informant,Mephitic.Vapors,Severed.Strands,Hungering.Hydra,Sigiled.Sword.of.Valeron,Grasping.Thrull,Imperious.Oligarch,Mortify,Pitiless.Pontiff,Teysa.Karlov,Arrester.s.Admonition,Spawn.of.Mayhem,Primal.Amulet,Ritual.of.Rejuvenation,Absorb,Ill.Gotten.Inheritance,Kaya.s.Wrath,Bedevil,Tithe.Taker,Seraph.of.the.Scales,Memorial.to.Glory,Bedeck....Bedazzle,Unknown.Shores,Glass.of.the.Guildpact,Jhoira.s.Familiar,Resplendent.Griffin,Chaos.Wand,Short.Sword,Citywatch.Sphinx,Famished.Paladin,Sorcerer.s.Wand,Squire.s.Devotion,Gate.Colossus,Open.the.Gates,Plaza.of.Harmony,Gideon.s.Reproach,Impassioned.Orator,Loxodon.Restorer,Tenth.District.Guard,Join.Shields,Basilica.Bell.Haunt,Expose.to.Daylight,Dire.Fleet.Captain,Dire.Fleet.Neckbreaker,The.Haunt.of.Hightower,Priest.of.Forgotten.Gods,Cry.of.the.Carnarium,Revel.in.Riches,Cherished.Hatchling,Guild.Summit,Arcane.Adaptation,Ajani..Wise.Counselor,Mesa.Unicorn,Undercity.s.Embrace,Gruesome.Menagerie,Thrash....Threat,Chillbringer,Civic.Stalwart,Prowling.Caracal,Scrabbling.Claws,Tattered.Mummy,Angelic.Exaltation,Pestilent.Spirit,Chromatic.Lantern,Call.the.Cavalry,Gallant.Cavalry,Profane.Procession,Revival....Revenge,Skittering.Surveyor,Triumph.of.Gerrard,Twilight.Panther,Ministrant.of.Obligation,Orzhov.Enforcer,Pirate.s.Prize,Baird..Steward.of.Argive,Forebear.s.Blade,Cavalcade.of.Calamity,Dawn.of.Hope,March.of.the.Drowned,Hero.of.Precinct.One,Kaya..Orzhov.Usurper,Archway.Angel,Arrester.s.Zeal,Bring.to.Trial,Ethereal.Absolution,Forbidding.Spirit,Tenth.District.Veteran,Thirsting.Shade,Vizkopa.Vampire,Haazda.Officer,Sphinx.of.the.Guildpact,Consecrate....Consume,Summary.Judgment,Axebane.Beast,Captive.Audience,Carnival....Carnage,Drill.Bit,Bladebrand,Noxious.Groodion,Grotesque.Demise,Orzhov.Locket,Blade.Juggler,Burning.Tree.Vandal,Azorius.Locket,Scuttlegator,Bloodmist.Inflitrator,Resolute.Watchdog,Bankrupt.in.Blood,Final.Payment,Biogenic.Ooze,Angel.of.Grace,Vindictive.Vampire,Plague.Wight,Syndicate.Messenger,Spirit.of.the.Spires,Carrion.Imp,Catacomb.Crocodile,Sky.Tether,Gutterbones,Knight.of.Sorrows,Sentinel.s.Mark,Undercity.Scavenger,Rally.to.Battle,Consign.to.the.Pit,Concordia.Pegasus,Burn.Bright,Debtor.s.Transport,Bloodmist.Infiltrator,Dead.Revels,Knight.of.the.Last.Breath,Golgari.Locket,Macabre.Mockery,Biogenic.Upgrade,End.Raze.Forerunners,Nikya.of.the.Old.Ways,Mass.Manipulation,Orzhov.Racketeers,id
,m19,"ixa,m19",m19,"m19,dom",m19,m19,"dom,m19",m19,m19,m19,m19,m19,"ixa,gor,m19",m19,m19,m19,m19,m19,m19,m19,"ravall,m19",m19,m19,m19,m19,m19,m19,m19,m19,m19,m19,m19,"gor,roi",m19,m19,m19,m19,m19,m19,m19,m19,m19,"roi,ixa,m19",m19,"ixa,m19",m19,m19,"m19,ixa",d,m19,roi,m19,gor,,m19,m19,roi,,gor,roi,roi,roi,,d,m19,m19,,gor,roi,roi,,i,gor,,gor,m19,,gor,gor,gor,gor,gor,,roi,gor,gor,gor,gor,m19,m19,m19,,gor,m19,m19,gor,m19,m19,m19,m19,roi,roi,m19,m19,m19,,,"roi,m19",gor,gor,gor,gor,,,,roi,,roi,gor,gor,roi,roi,roi,roi,gor,m19,m19,gor,gor,gor,m19,gor,,,gor,roi,roi,m19,m19,m19,m19,,m19,,m19,,,m19,gor,m19,,"dom,m19",,roi,gor,gor,m19,,m19,,m19,m19,,m19,m19,roi,m19,gor,gor,gor,gor,,gor,m19,,gor,gor,,,,gor,gor,,roi,,m19,d,,m19,m19,m19,m19,,m19,m19,gor,gor,,roi,"roi,m19",m19,m19,m19,gor,m19,gor,gor,gor,m19,gor,gor,,roi,,gor,,,m19,gor,gor,gor,,,,,,,m19,,,"dom,m19",,,,,,,,,,m19,m19,m19,m19,,,roi,"m19,roi",m19,m19,,m19,m19,roi,roi,m19,m19,gor,roi,gor,m19,"roi,m19",gor,gor,gor,gor,gor,gor,m19,gor,roi,m19,gor,,,"dom,m19",,m19,m19,roi,m19,roi,gor,gor,gor,m19,roi,m19,roi,gor,m19,m19,roi,m19,m19,m19,m19,m19,m19,,,gor,,,gor,roi,m19,roi,,gor,gor,gor,m19,"gor,m19",gor,m19,,gor,,roi,"gor,m19",gor,,roi,roi.m19,,gor,gor,gor,gor,gor,,,gor,roi,,,roi,roi,,gor,m19,m19,gor,m19,,gor,gor,roi,,,,,roi,gor,,gor,m19,roi,m19,,roi,m19,gor,,gor,gor,m19,d,,roi,roi,roi,roi,m19,roi,m19,"ixa,m19",m19,,m19,m19,m19,m19,gor,gor,m19,m19,m19,,,gor,m19,m19,m19,m19,m19,,,,,gor,gor,gor,m19,,gor,gor,,,gor,roi,roi,roi,,roi,gor,m19,,gor,gor,gor,gor,m19,gor,roi,gor,gor,gor,,gor,gor,m19,gor,gor,roi,gor,,gor,m19,m19,gor,roi,m19,m19,m19,gor,,roi,,m19,m19,,m19,roi,,gor,gor,gor,gor,,m19,roi,gor,roi,,,gor,gor,m19,,roi,,gor,gor,,gor,,m19,,roi,roi,gor,,m19,gor,roi,roi,gor,,roi,m19,,m19,roi,roi,roi,,roi,m19,,roi,gor,gor,m19,gor,,,roi,m19,gor,roi,roi,gor,roi,m19,m19,gor,gor,gor,roi,roi,roi,m19,,gor,roi,gor,gor,"m19,dom",m19,roi,,roi,roi,m19,,m19,m19,gor,,roi,,,,,gor,gor,gor,gor,gor,,roi,m19,gor,gor,gor,roi,gor,m19,gor,gor,gor,gor,,roi,gor,gor,gor,,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,roi,m19,i,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,gor,ravall,m19,gor,ravall,ravall,ravall,m19,m19,m19,m19,m19,gor,gor,gor,m19,m19,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ixa,,ravall,ravall,ravall,ravall,ravall,ravall,dom,ravall,ixa,ravall,dom,roi,m19,dom,gor,roi,dom,roi,ravall,ravall,ravall,dom,ravall,gor,gor,gor,ravall,ravall,ixa,roi,ravall,ravall,ravall,ixa,roi,gor,ixa,m19,dom,ravall,gor,ravall,ravall,ravall,ravall,ravall,m19,ravall,ravall,ixa,gor,m19,roi,ravall,gor,gor,ravall,ravall,ravall,ixa,gor,gor,ravall,ixa,ixa,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,ravall,gor,ravall,ravall,ravall,ravall,ravall,ravall,
,l,l,r,l,r,l,r,r,r,a,g,l,r,l,r,r,g,r,g,g,r,l,l,l,r,g,g,w,w,r,w,w,w,w,g,b,a,b,w,w,w,b,g,w,b,w,w,b,l,l,l,w,w,w,w,w,w,w,b,"b,w",w,b,b,w,w,b,"w,b",b,b,w,w,b,w,w,w,w,w,"w,r",w,r,"r,w","w,r",w,a,w,b,"g,w","g,w",b,r,r,l,"r,l",r,l,l,a,a,a,l,a,l,l,a,l,l,a,l,l,l,l,"b,l",b,g,b,b,g,r,"g,w",g,g,b,w,b,b,w,b,"l,r","w,r","w,r",w,"l,r",w,b,w,w,w,b,b,b,l,b,b,w,w,w,w,w,"w,g",w,w,g,b,g,b,b,g,b,g,b,a,"w,r","w,r",a,l,r,l,a,r,"l,b",b,b,r,r,"w,r","b,g","w,r",w,w,w,"g,w","g,w",w,b,b,b,b,b,b,l,"l,r",r,r,w,"l,r,b",g,w,w,a,g,w,g,g,g,g,"r,w","w,r","w,r",w,"r,w","w,r",w,"w,g",w,r,b,b,b,a,"b,g","b,g",g,"w,b",b,w,b,b,r,b,b,l,b,b,l,"b,l,g",b,a,a,b,a,g,g,g,"g,w",r,b,b,b,r,r,r,g,"r,g",g,r,g,g,"g,b",g,"b,g",b,g,"b,g",b,"b,l",l,l,l,l,l,l,l,"l,r",w,a,w,b,b,b,r,r,b,"b,l","r,l","l,r",r,r,r,r,r,r,b,g,"b,g",g,g,g,g,b,b,g,w,w,w,w,b,a,"b,w",b,"l,r",a,w,l,l,r,w,b,b,w,w,b,"b,l","b,w",l,l,w,"b,g",g,g,b,b,w,b,b,a,"b,w",b,b,b,w,"b,l",r,l,g,b,a,"b,l",l,a,b,b,a,b,w,b,a,l,a,b,b,w,g,g,"w,r",b,b,"b,g",r,a,a,l,r,g,l,w,"l,g",b,l,a,a,g,r,a,r,"b,l","b,l",g,b,b,a,l,g,g,r,r,r,r,b,b,g,a,"r,w","l,b",w,l,b,r,"w,r",b,b,g,g,g,l,r,g,g,r,b,r,g,r,g,g,g,r,w,w,g,a,l,l,g,r,r,a,l,"l,w",r,a,g,a,w,l,l,w,g,w,g,w,l,a,w,r,g,"l,r","r,l",l,l,"l,r",w,w,"l,g",l,r,w,a,w,w,a,r,g,a,"b,l",l,w,"b,g",b,b,b,r,b,a,w,g,r,b,"b,g",r,a,r,b,a,r,r,r,b,r,b,b,b,"g,r","g,w",r,w,w,a,a,g,w,b,"g,w",g,b,l,l,b,b,b,"b,g",b,g,"r,b",a,a,r,w,l,"l,b",l,b,g,w,r,r,r,w,w,b,a,r,"b,l",b,r,r,b,g,g,l,w,g,w,w,b,g,g,g,l,"w,r","w,b","b,l",l,"l,r",w,b,b,"g,w","g,w",r,w,b,g,"b,g","g,w",w,"w,g",w,w,g,l,r,"l,r",w,w,w,w,r,b,b,a,"w,g",l,l,b,l,g,g,a,b,b,b,r,r,"l,r","b,l",l,b,b,"l,g","l,g","g,l",a,w,w,a,"w,l",l,b,w,g,a,"b,w","b,w","b,w","b,w","b,w",l,b,"b,l,w,a",w,"l,w",b,"b,w","b,r",w,"b,w",a,"r,b",a,a,a,w,a,a,l,w,a,w,a,g,a,w,w,w,w,"g,w","b,w",b,"b,r","r,b",b,b,b,b,g,l,l,w,w,b,b,"g,r",l,w,w,a,b,w,b,a,w,w,"b,w","b,w",a,a,w,w,b,l,w,a,r,w,b,w,"b,w",w,w,w,"b,w",w,w,b,"w,b",w,a,"w,b",w,g,"r,b","b,r",b,b,b,b,a,b,r,a,"g,l",b,w,b,b,g,w,b,b,w,w,b,b,w,b,w,w,b,w,b,w,r,b,b,b,"b,w",a,"b,r",g,g,"g,r",l,"a,b",
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12886
0,,,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12887
